Acesulfame Potassium,Halal
Acetic acid,Halal
Acetone,Halal
Acid Casein,Haram
Adenosine Monophosphate,Haram
Agar,Halal
Albumin,Halal
Alcohol,Haram
Alginic Acid or Algin,Halal
Allspice,Halal
Alum,Halal
Aluminum Ammonium Sulfate,Halal
Ammonium Bicarbonate,Halal
Ammonium Carbonate,Halal
Ammonium Chloride,Halal
Ammonium Sulfate,Halal
Amylase (alpha),Halal
Amylase (beta),Halal
Anise,Halal
Aniseed,Halal
Annatto ,Halal
Apple Cider Vinegar,Halal
Arrowroot ,Halal
Artificial Colors,Haram
FD&C Yellow No. 5,Haram
Artificial Flavors,Haram
Ascorbic Acid,Halal
Aspartame,Haram
Azodicarbonamide,Halal
Bacon,Haram
Bakers Yeast,Halal
Bakers Yeast Extract,Halal
Baking Powder,Halal
Baking Soda,Halal
Balsamic Vinegar,Haram
Basil,Halal
Bay Leaves,Halal
Beer,Haram
Beer Batters,Haram
Beer Flavor,Haram
Beeswax,Halal
Behenyl Alcohol,Haram
Docosanol,Haram
Benzaldehyde,Halal
Benzoic acid,Halal
Beta-Carotene,Haram
BHA,Haram
BHT,Haram
Bran,Halal
Brewers Yeast Extract,Haram
Bulgur wheat,Halal
Butter fat Lipolyzed,Haram
Buttermilk Solids,Haram
Milk Solids,Haram
Caffeine,Halal
Calcium Carbonate,Halal
Calcium Chloride,Halal
Calcium Citrate,Halal
Calcium Propionate,Halal
Calcium Sorbate,Halal
Calcium Stearate,Haram
Calcium Stearoyl Lactylate,Haram
Calcium Sulfate,Halal
Canola or Canola Oil,Halal
Caramel,Halal
Caraway,Halal
Carboxymethyl cellulose,Halal
Cardamom,Halal
Carmine color,Haram
Carnauba Wax,Halal
Carob,Halal
Carob Powder,Halal
Carob Gum,Halal
Carrageenan,Haram
Carrot Oleoresin,Halal
Carrot Seed Oil,Halal
Caseinates,Haram
Cetyl Alcohol,Haram
Cheese Powder,Haram
Chicory Root or Root Chicory,Halal
Chives,Halal
Chlorine,Halal
Chocolate Liquour,Halal
Cocoa Liqour,Halal
Cinnamon,Halal
Citric Acid,Halal
Citrus Oil,Halal
Clove,Halal
Cochineal Color,Haram
Cocoa Butter,Halal
Cocoa Powder,Halal
Coconut,Halal
Confectionary Glaze,Haram
Coriander,Halal
Corn,Halal
Corn Bran,Halal
Corn Flour or Cornmeal,Halal
Corn Gluten Meal or Corn Protein,Halal
Corn Meal,Halal
Corn Oil,Halal
Corn Starch,Halal
Corn Syrup,Halal
Corn Syrup Solids,Halal
Cranberry,Halal
Cream,Halal
Cream of Tarter,Halal
Cultured Corn Syrup Solid,Halal
Cultured Cream Lipolyzed,Haram
Cultured Milk,Haram
Cultured Wheat Flour,Halal
Cumin,Halal
Curry Powder,Halal
Cytidene 5 Monophosphate,Haram
DATEM,Haram
Di- Acetyl Tartrate Ester of Monoglycerides,Haram
Dextrin,Halal
Dextrose,Halal
Dicalcium Phosphate,Halal
Diglyceride,Haram
Dill,Halal
Dipotassium Phosphate,Halal
Disodium Guanosine 5 Monophosphate,Haram
Disodium Guanylate,Halal
Disodium Inosinate,Haram
Disodium Uridine 5 Monophosphate,Haram
Dried Milk,Haram
Durum Flour,Halal
EDTA,Halal
Eggs,Halal
Enzyme Modified Lecithin,Haram
Enzyme Modified Soya Lecithin,Haram
Enzymes used in Bakery Products,Halal
Enzymes used in Cheeses or Dairy Products,Haram
Erythorbic Acid,Halal
Erythritol,Haram
Ethoxylated Mono- and Diglycerides,Haram
Ethyl Alcohol or Ethanol,Haram
Ethylvanillin,Halal
Farina,Halal
Fennel,Halal
Fenugreek,Halal
Fermented Cider,Haram
Ferric Oxide,Halal
Ferrous Sulphate,Halal
Fish Gelatin,Halal
Flour,Halal
Bleached Flour,Halal
Refined Flour,Halal
Enriched Flour,Halal
Folic Acid,Haram
Fructose,Halal
Fumaric Acid,Halal
Garlic,Halal
Gelatin,Haram
Gellan Gum,Halal
Ghatti Gum,Halal
Ginger,Halal
Glucono Delta-Lactone,Halal
Gluten,Halal
Glycerin,Haram
Glycerol Ester,Haram
Glycerol Monostearate,Haram
Graham Flour,Halal
Grape,Halal
Grape Seed Extract,Haram
Grape Seed Oil,Haram
Grape Skin Powder,Haram
Guar Gum,Halal
Ham,Haram
Hard Cider,Haram
High Fructose Corn Syrup,Halal
Honey,Halal
Horseradish,Halal
Hydrogenated Starch Hydrolysates,Halal
Hydrogenated Vegetable Oil,Halal
Hydrolyzed Vegetable Protein,Halal
Hydroxylated Lecithin,Haram
Inosito 5 Monophosphate,Haram
Inulin,Halal
Invert Sugar,Halal
Iron,Halal
Isomalt,Halal
Isopropyl Alcohol,Halal
Isoproponal Alcohol,Halal
Karaya Gum,Halal
Kelp,Halal
